what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1268586031453
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1268586031484
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1268586031515
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1268586031531
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1268586031531
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1268586031562
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1268586031625
os,sysinfo,,,"win32",1268586031625
arch,sysinfo,,,"x86",1268586031625
ws,sysinfo,,,"win32",1268586031625
locale,sysinfo,,,"en_US",1268586031625
processors,sysinfo,,,"2",1268586031703
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1268586031703
java.runtime.version,sysinfo,,,"1.6.0_05-b13",1268586031703
java.specification.name,sysinfo,,,"Java Platform API Specification",1268586031703
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268586031703
java.specification.version,sysinfo,,,"1.6",1268586031703
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1268586031703
java.version,sysinfo,,,"1.6.0_05",1268586031703
java.vm.info,sysinfo,,,"mixed mode, sharing",1268586031703
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1268586031703
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1268586031703
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268586031703
java.vm.specification.version,sysinfo,,,"1.0",1268586031703
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1268586031703
java.vm.version,sysinfo,,,"10.0-b19",1268586031703
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1268586032171
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1268586032343
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1268586033031
started,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1268586033937
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1268586034015
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1268586034046
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1268586034734
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1268586036078
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1268586036171
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1268586036781
